id,id_index,kode_provinsi,nama_provinsi,periode_update,klinik,kategori,jumlah,satuan,tahun
61,18361,35,JAWA TIMUR,2018-03,REHABILITASI MEDIK,TOTAL,1757,PASIEN,2018
61,18261,35,JAWA TIMUR,2018-03,REHABILITASI MEDIK,PEREMPUAN,1113,PASIEN,2018
61,18161,35,JAWA TIMUR,2018-03,REHABILITASI MEDIK,LAKI LAKI,644,PASIEN,2018
60,18060,35,JAWA TIMUR,2018-03,PTRM,TOTAL,62,PASIEN,2018
60,17860,35,JAWA TIMUR,2018-03,PTRM,LAKI LAKI,62,PASIEN,2018
59,17759,35,JAWA TIMUR,2018-03,PSIKIATRI,TOTAL,586,PASIEN,2018
59,17659,35,JAWA TIMUR,2018-03,PSIKIATRI,PEREMPUAN,269,PASIEN,2018
59,17559,35,JAWA TIMUR,2018-03,PSIKIATRI,LAKI LAKI,317,PASIEN,2018
38,11338,35,JAWA TIMUR,2018-02,PSIKIATRI,PEREMPUAN,286,PASIEN,2018
77,23177,35,JAWA TIMUR,2018-04,THT,TOTAL,1457,PASIEN,2018
77,23077,35,JAWA TIMUR,2018-04,THT,PEREMPUAN,684,PASIEN,2018
77,22977,35,JAWA TIMUR,2018-04,THT,LAKI LAKI,773,PASIEN,2018
76,22876,35,JAWA TIMUR,2018-04,MATA,TOTAL,1922,PASIEN,2018
76,22776,35,JAWA TIMUR,2018-04,MATA,PEREMPUAN,1022,PASIEN,2018
76,22676,35,JAWA TIMUR,2018-04,MATA,LAKI LAKI,900,PASIEN,2018
75,22575,35,JAWA TIMUR,2018-04,IKA,TOTAL,1607,PASIEN,2018
75,22475,35,JAWA TIMUR,2018-04,IKA,PEREMPUAN,730,PASIEN,2018
75,22375,35,JAWA TIMUR,2018-04,IKA,LAKI LAKI,877,PASIEN,2018
74,22274,35,JAWA TIMUR,2018-04,GIGI & MULUT,TOTAL,1175,PASIEN,2018
74,22174,35,JAWA TIMUR,2018-04,GIGI & MULUT,PEREMPUAN,709,PASIEN,2018
74,22074,35,JAWA TIMUR,2018-04,GIGI & MULUT,LAKI LAKI,466,PASIEN,2018
72,21672,35,JAWA TIMUR,2018-04,OBG,TOTAL,2242,PASIEN,2018
72,21572,35,JAWA TIMUR,2018-04,OBG,PEREMPUAN,2233,PASIEN,2018
72,21472,35,JAWA TIMUR,2018-04,OBG,LAKI LAKI,9,PASIEN,2018
71,21371,35,JAWA TIMUR,2018-04,BEDAH,TOTAL,3314,PASIEN,2018
84,25184,35,JAWA TIMUR,2018-04,KONSULTASI GIZI,PEREMPUAN,185,PASIEN,2018
84,25084,35,JAWA TIMUR,2018-04,KONSULTASI GIZI,LAKI LAKI,121,PASIEN,2018
82,24682,35,JAWA TIMUR,2018-04,REHABILITASI MEDIK,TOTAL,1748,PASIEN,2018
82,24582,35,JAWA TIMUR,2018-04,REHABILITASI MEDIK,PEREMPUAN,1098,PASIEN,2018
82,24482,35,JAWA TIMUR,2018-04,REHABILITASI MEDIK,LAKI LAKI,650,PASIEN,2018
81,24381,35,JAWA TIMUR,2018-04,PTRM,TOTAL,62,PASIEN,2018
81,24181,35,JAWA TIMUR,2018-04,PTRM,LAKI LAKI,62,PASIEN,2018
80,24080,35,JAWA TIMUR,2018-04,PSIKIATRI,TOTAL,590,PASIEN,2018
80,23980,35,JAWA TIMUR,2018-04,PSIKIATRI,PEREMPUAN,272,PASIEN,2018
80,23880,35,JAWA TIMUR,2018-04,PSIKIATRI,LAKI LAKI,318,PASIEN,2018
79,23779,35,JAWA TIMUR,2018-04,NEUROLOGI,TOTAL,1587,PASIEN,2018
79,23679,35,JAWA TIMUR,2018-04,NEUROLOGI,PEREMPUAN,887,PASIEN,2018
79,23579,35,JAWA TIMUR,2018-04,NEUROLOGI,LAKI LAKI,700,PASIEN,2018
78,23478,35,JAWA TIMUR,2018-04,CARDIOLOGI,TOTAL,2461,PASIEN,2018
78,23378,35,JAWA TIMUR,2018-04,CARDIOLOGI,PEREMPUAN,1241,PASIEN,2018
78,23278,35,JAWA TIMUR,2018-04,CARDIOLOGI,LAKI LAKI,1220,PASIEN,2018
90,27090,35,JAWA TIMUR,2018-05,ONKOLOGI TERPADU,TOTAL,2317,PASIEN,2018
90,26990,35,JAWA TIMUR,2018-05,ONKOLOGI TERPADU,PEREMPUAN,1995,PASIEN,2018
90,26890,35,JAWA TIMUR,2018-05,ONKOLOGI TERPADU,LAKI LAKI,322,PASIEN,2018
89,26789,35,JAWA TIMUR,2018-05,KULIT & KELAMIN,TOTAL,680,PASIEN,2018
89,26689,35,JAWA TIMUR,2018-05,KULIT & KELAMIN,PEREMPUAN,409,PASIEN,2018
89,26589,35,JAWA TIMUR,2018-05,KULIT & KELAMIN,LAKI LAKI,271,PASIEN,2018
88,26488,35,JAWA TIMUR,2018-05,GENERAL CHECK UP,TOTAL,317,PASIEN,2018
88,26388,35,JAWA TIMUR,2018-05,GENERAL CHECK UP,PEREMPUAN,151,PASIEN,2018
88,26288,35,JAWA TIMUR,2018-05,GENERAL CHECK UP,LAKI LAKI,166,PASIEN,2018
87,26187,35,JAWA TIMUR,2018-05,KOMPLEMENTER,TOTAL,15,PASIEN,2018
87,26087,35,JAWA TIMUR,2018-05,KOMPLEMENTER,PEREMPUAN,8,PASIEN,2018
87,25987,35,JAWA TIMUR,2018-05,KOMPLEMENTER,LAKI LAKI,7,PASIEN,2018
85,25585,35,JAWA TIMUR,2018-05,DALAM,TOTAL,3854,PASIEN,2018
85,25485,35,JAWA TIMUR,2018-05,DALAM,PEREMPUAN,2228,PASIEN,2018
85,25385,35,JAWA TIMUR,2018-05,DALAM,LAKI LAKI,1626,PASIEN,2018
84,25284,35,JAWA TIMUR,2018-04,KONSULTASI GIZI,TOTAL,306,PASIEN,2018
97,28997,35,JAWA TIMUR,2018-05,MATA,LAKI LAKI,941,PASIEN,2018
96,28896,35,JAWA TIMUR,2018-05,IKA,TOTAL,1660,PASIEN,2018
96,28796,35,JAWA TIMUR,2018-05,IKA,PEREMPUAN,710,PASIEN,2018
96,28696,35,JAWA TIMUR,2018-05,IKA,LAKI LAKI,950,PASIEN,2018
95,28595,35,JAWA TIMUR,2018-05,GIGI & MULUT,TOTAL,979,PASIEN,2018
95,28495,35,JAWA TIMUR,2018-05,GIGI & MULUT,PEREMPUAN,626,PASIEN,2018
95,28395,35,JAWA TIMUR,2018-05,GIGI & MULUT,LAKI LAKI,353,PASIEN,2018
93,27993,35,JAWA TIMUR,2018-05,OBG,TOTAL,2136,PASIEN,2018
93,27893,35,JAWA TIMUR,2018-05,OBG,PEREMPUAN,2132,PASIEN,2018
93,27793,35,JAWA TIMUR,2018-05,OBG,LAKI LAKI,4,PASIEN,2018
92,27692,35,JAWA TIMUR,2018-05,BEDAH,TOTAL,3081,PASIEN,2018
92,27592,35,JAWA TIMUR,2018-05,BEDAH,PEREMPUAN,1374,PASIEN,2018
92,27492,35,JAWA TIMUR,2018-05,BEDAH,LAKI LAKI,1707,PASIEN,2018
91,27391,35,JAWA TIMUR,2018-05,PARU,TOTAL,1256,PASIEN,2018
91,27291,35,JAWA TIMUR,2018-05,PARU,PEREMPUAN,559,PASIEN,2018
91,27191,35,JAWA TIMUR,2018-05,PARU,LAKI LAKI,697,PASIEN,2018
102,306102,35,JAWA TIMUR,2018-05,PTRM,TOTAL,68,PASIEN,2018
102,304102,35,JAWA TIMUR,2018-05,PTRM,LAKI LAKI,68,PASIEN,2018
101,303101,35,JAWA TIMUR,2018-05,PSIKIATRI,TOTAL,630,PASIEN,2018
101,302101,35,JAWA TIMUR,2018-05,PSIKIATRI,PEREMPUAN,279,PASIEN,2018
101,301101,35,JAWA TIMUR,2018-05,PSIKIATRI,LAKI LAKI,351,PASIEN,2018
100,300100,35,JAWA TIMUR,2018-05,NEUROLOGI,TOTAL,1466,PASIEN,2018
100,299100,35,JAWA TIMUR,2018-05,NEUROLOGI,PEREMPUAN,798,PASIEN,2018
100,298100,35,JAWA TIMUR,2018-05,NEUROLOGI,LAKI LAKI,668,PASIEN,2018
99,29799,35,JAWA TIMUR,2018-05,CARDIOLOGI,TOTAL,2397,PASIEN,2018
99,29699,35,JAWA TIMUR,2018-05,CARDIOLOGI,PEREMPUAN,1167,PASIEN,2018
99,29599,35,JAWA TIMUR,2018-05,CARDIOLOGI,LAKI LAKI,1230,PASIEN,2018
98,29498,35,JAWA TIMUR,2018-05,THT,TOTAL,1380,PASIEN,2018
98,29398,35,JAWA TIMUR,2018-05,THT,PEREMPUAN,620,PASIEN,2018
98,29298,35,JAWA TIMUR,2018-05,THT,LAKI LAKI,760,PASIEN,2018
97,29197,35,JAWA TIMUR,2018-05,MATA,TOTAL,1926,PASIEN,2018
97,29097,35,JAWA TIMUR,2018-05,MATA,PEREMPUAN,985,PASIEN,2018
111,331111,35,JAWA TIMUR,2018-06,ONKOLOGI TERPADU,LAKI LAKI,156,PASIEN,2018
110,330110,35,JAWA TIMUR,2018-06,KULIT & KELAMIN,TOTAL,409,PASIEN,2018
110,329110,35,JAWA TIMUR,2018-06,KULIT & KELAMIN,PEREMPUAN,249,PASIEN,2018
110,328110,35,JAWA TIMUR,2018-06,KULIT & KELAMIN,LAKI LAKI,160,PASIEN,2018
109,327109,35,JAWA TIMUR,2018-06,GENERAL CHECK UP,TOTAL,406,PASIEN,2018
109,326109,35,JAWA TIMUR,2018-06,GENERAL CHECK UP,PEREMPUAN,196,PASIEN,2018
109,325109,35,JAWA TIMUR,2018-06,GENERAL CHECK UP,LAKI LAKI,210,PASIEN,2018
108,324108,35,JAWA TIMUR,2018-06,KOMPLEMENTER,TOTAL,8,PASIEN,2018
108,323108,35,JAWA TIMUR,2018-06,KOMPLEMENTER,PEREMPUAN,4,PASIEN,2018
108,322108,35,JAWA TIMUR,2018-06,KOMPLEMENTER,LAKI LAKI,4,PASIEN,2018
106,318106,35,JAWA TIMUR,2018-06,DALAM,TOTAL,2407,PASIEN,2018
106,317106,35,JAWA TIMUR,2018-06,DALAM,PEREMPUAN,1380,PASIEN,2018
106,316106,35,JAWA TIMUR,2018-06,DALAM,LAKI LAKI,1027,PASIEN,2018
103,309103,35,JAWA TIMUR,2018-05,REHABILITASI MEDIK,TOTAL,1580,PASIEN,2018
103,308103,35,JAWA TIMUR,2018-05,REHABILITASI MEDIK,PEREMPUAN,991,PASIEN,2018
103,307103,35,JAWA TIMUR,2018-05,REHABILITASI MEDIK,LAKI LAKI,589,PASIEN,2018
117,350117,35,JAWA TIMUR,2018-06,IKA,PEREMPUAN,434,PASIEN,2018
117,349117,35,JAWA TIMUR,2018-06,IKA,LAKI LAKI,515,PASIEN,2018
116,348116,35,JAWA TIMUR,2018-06,GIGI & MULUT,TOTAL,422,PASIEN,2018
116,347116,35,JAWA TIMUR,2018-06,GIGI & MULUT,PEREMPUAN,276,PASIEN,2018
116,346116,35,JAWA TIMUR,2018-06,GIGI & MULUT,LAKI LAKI,146,PASIEN,2018
114,342114,35,JAWA TIMUR,2018-06,OBG,TOTAL,1290,PASIEN,2018
114,341114,35,JAWA TIMUR,2018-06,OBG,PEREMPUAN,1288,PASIEN,2018
114,340114,35,JAWA TIMUR,2018-06,OBG,LAKI LAKI,2,PASIEN,2018
113,339113,35,JAWA TIMUR,2018-06,BEDAH,TOTAL,1695,PASIEN,2018
113,338113,35,JAWA TIMUR,2018-06,BEDAH,PEREMPUAN,742,PASIEN,2018
113,337113,35,JAWA TIMUR,2018-06,BEDAH,LAKI LAKI,953,PASIEN,2018
112,336112,35,JAWA TIMUR,2018-06,PARU,TOTAL,834,PASIEN,2018
112,335112,35,JAWA TIMUR,2018-06,PARU,PEREMPUAN,399,PASIEN,2018
112,334112,35,JAWA TIMUR,2018-06,PARU,LAKI LAKI,435,PASIEN,2018
111,333111,35,JAWA TIMUR,2018-06,ONKOLOGI TERPADU,TOTAL,1314,PASIEN,2018
111,332111,35,JAWA TIMUR,2018-06,ONKOLOGI TERPADU,PEREMPUAN,1158,PASIEN,2018
122,366122,35,JAWA TIMUR,2018-06,PSIKIATRI,TOTAL,429,PASIEN,2018
122,365122,35,JAWA TIMUR,2018-06,PSIKIATRI,PEREMPUAN,190,PASIEN,2018
122,364122,35,JAWA TIMUR,2018-06,PSIKIATRI,LAKI LAKI,239,PASIEN,2018
121,363121,35,JAWA TIMUR,2018-06,NEUROLOGI,TOTAL,1056,PASIEN,2018
121,362121,35,JAWA TIMUR,2018-06,NEUROLOGI,PEREMPUAN,581,PASIEN,2018
121,361121,35,JAWA TIMUR,2018-06,NEUROLOGI,LAKI LAKI,475,PASIEN,2018
120,360120,35,JAWA TIMUR,2018-06,CARDIOLOGI,TOTAL,1597,PASIEN,2018
120,359120,35,JAWA TIMUR,2018-06,CARDIOLOGI,PEREMPUAN,772,PASIEN,2018
120,358120,35,JAWA TIMUR,2018-06,CARDIOLOGI,LAKI LAKI,825,PASIEN,2018
119,357119,35,JAWA TIMUR,2018-06,THT,TOTAL,869,PASIEN,2018
119,356119,35,JAWA TIMUR,2018-06,THT,PEREMPUAN,411,PASIEN,2018
119,355119,35,JAWA TIMUR,2018-06,THT,LAKI LAKI,458,PASIEN,2018
118,354118,35,JAWA TIMUR,2018-06,MATA,TOTAL,1012,PASIEN,2018
118,353118,35,JAWA TIMUR,2018-06,MATA,PEREMPUAN,503,PASIEN,2018
118,352118,35,JAWA TIMUR,2018-06,MATA,LAKI LAKI,509,PASIEN,2018
117,351117,35,JAWA TIMUR,2018-06,IKA,TOTAL,949,PASIEN,2018
131,392131,35,JAWA TIMUR,2018-07,KULIT & KELAMIN,PEREMPUAN,415,PASIEN,2018
131,391131,35,JAWA TIMUR,2018-07,KULIT & KELAMIN,LAKI LAKI,305,PASIEN,2018
130,390130,35,JAWA TIMUR,2018-07,GENERAL CHECK UP,TOTAL,1406,PASIEN,2018
130,389130,35,JAWA TIMUR,2018-07,GENERAL CHECK UP,PEREMPUAN,649,PASIEN,2018
130,388130,35,JAWA TIMUR,2018-07,GENERAL CHECK UP,LAKI LAKI,757,PASIEN,2018
127,381127,35,JAWA TIMUR,2018-07,DALAM,TOTAL,3967,PASIEN,2018
127,380127,35,JAWA TIMUR,2018-07,DALAM,PEREMPUAN,2327,PASIEN,2018
127,379127,35,JAWA TIMUR,2018-07,DALAM,LAKI LAKI,1640,PASIEN,2018
126,378126,35,JAWA TIMUR,2018-06,KONSULTASI GIZI,TOTAL,176,PASIEN,2018
126,377126,35,JAWA TIMUR,2018-06,KONSULTASI GIZI,PEREMPUAN,90,PASIEN,2018
126,376126,35,JAWA TIMUR,2018-06,KONSULTASI GIZI,LAKI LAKI,86,PASIEN,2018
124,372124,35,JAWA TIMUR,2018-06,REHABILITASI MEDIK,TOTAL,637,PASIEN,2018
124,371124,35,JAWA TIMUR,2018-06,REHABILITASI MEDIK,PEREMPUAN,418,PASIEN,2018
124,370124,35,JAWA TIMUR,2018-06,REHABILITASI MEDIK,LAKI LAKI,219,PASIEN,2018
123,369123,35,JAWA TIMUR,2018-06,PTRM,TOTAL,70,PASIEN,2018
123,367123,35,JAWA TIMUR,2018-06,PTRM,LAKI LAKI,70,PASIEN,2018
137,411137,35,JAWA TIMUR,2018-07,GIGI & MULUT,TOTAL,1067,PASIEN,2018
137,410137,35,JAWA TIMUR,2018-07,GIGI & MULUT,PEREMPUAN,690,PASIEN,2018
137,409137,35,JAWA TIMUR,2018-07,GIGI & MULUT,LAKI LAKI,377,PASIEN,2018
135,405135,35,JAWA TIMUR,2018-07,OBG,TOTAL,2338,PASIEN,2018
135,404135,35,JAWA TIMUR,2018-07,OBG,PEREMPUAN,2330,PASIEN,2018
135,403135,35,JAWA TIMUR,2018-07,OBG,LAKI LAKI,8,PASIEN,2018
134,402134,35,JAWA TIMUR,2018-07,BEDAH,TOTAL,3598,PASIEN,2018
134,401134,35,JAWA TIMUR,2018-07,BEDAH,PEREMPUAN,1653,PASIEN,2018
134,400134,35,JAWA TIMUR,2018-07,BEDAH,LAKI LAKI,1945,PASIEN,2018
133,399133,35,JAWA TIMUR,2018-07,PARU,TOTAL,1190,PASIEN,2018
133,398133,35,JAWA TIMUR,2018-07,PARU,PEREMPUAN,579,PASIEN,2018
133,397133,35,JAWA TIMUR,2018-07,PARU,LAKI LAKI,611,PASIEN,2018
132,396132,35,JAWA TIMUR,2018-07,ONKOLOGI TERPADU,TOTAL,2235,PASIEN,2018
132,395132,35,JAWA TIMUR,2018-07,ONKOLOGI TERPADU,PEREMPUAN,1968,PASIEN,2018
132,394132,35,JAWA TIMUR,2018-07,ONKOLOGI TERPADU,LAKI LAKI,267,PASIEN,2018
131,393131,35,JAWA TIMUR,2018-07,KULIT & KELAMIN,TOTAL,720,PASIEN,2018
143,427143,35,JAWA TIMUR,2018-07,PSIKIATRI,LAKI LAKI,328,PASIEN,2018
142,426142,35,JAWA TIMUR,2018-07,NEUROLOGI,TOTAL,1535,PASIEN,2018
142,425142,35,JAWA TIMUR,2018-07,NEUROLOGI,PEREMPUAN,841,PASIEN,2018
142,424142,35,JAWA TIMUR,2018-07,NEUROLOGI,LAKI LAKI,694,PASIEN,2018
141,423141,35,JAWA TIMUR,2018-07,CARDIOLOGI,TOTAL,2547,PASIEN,2018
141,422141,35,JAWA TIMUR,2018-07,CARDIOLOGI,PEREMPUAN,1325,PASIEN,2018
141,421141,35,JAWA TIMUR,2018-07,CARDIOLOGI,LAKI LAKI,1222,PASIEN,2018
140,420140,35,JAWA TIMUR,2018-07,THT,TOTAL,1503,PASIEN,2018
140,419140,35,JAWA TIMUR,2018-07,THT,PEREMPUAN,717,PASIEN,2018
140,418140,35,JAWA TIMUR,2018-07,THT,LAKI LAKI,786,PASIEN,2018
139,417139,35,JAWA TIMUR,2018-07,MATA,TOTAL,1997,PASIEN,2018
139,416139,35,JAWA TIMUR,2018-07,MATA,PEREMPUAN,1037,PASIEN,2018
139,415139,35,JAWA TIMUR,2018-07,MATA,LAKI LAKI,960,PASIEN,2018
138,414138,35,JAWA TIMUR,2018-07,IKA,TOTAL,1703,PASIEN,2018
138,413138,35,JAWA TIMUR,2018-07,IKA,PEREMPUAN,750,PASIEN,2018
138,412138,35,JAWA TIMUR,2018-07,IKA,LAKI LAKI,953,PASIEN,2018
152,456152,35,JAWA TIMUR,2018-08,KULIT & KELAMIN,TOTAL,683,PASIEN,2018
152,455152,35,JAWA TIMUR,2018-08,KULIT & KELAMIN,PEREMPUAN,378,PASIEN,2018
152,454152,35,JAWA TIMUR,2018-08,KULIT & KELAMIN,LAKI LAKI,305,PASIEN,2018
151,453151,35,JAWA TIMUR,2018-08,GENERAL CHECK UP,TOTAL,409,PASIEN,2018
151,452151,35,JAWA TIMUR,2018-08,GENERAL CHECK UP,PEREMPUAN,195,PASIEN,2018
151,451151,35,JAWA TIMUR,2018-08,GENERAL CHECK UP,LAKI LAKI,214,PASIEN,2018
148,444148,35,JAWA TIMUR,2018-08,DALAM,TOTAL,3501,PASIEN,2018
148,443148,35,JAWA TIMUR,2018-08,DALAM,PEREMPUAN,2024,PASIEN,2018
148,442148,35,JAWA TIMUR,2018-08,DALAM,LAKI LAKI,1477,PASIEN,2018
145,435145,35,JAWA TIMUR,2018-07,REHABILITASI MEDIK,TOTAL,1596,PASIEN,2018
145,434145,35,JAWA TIMUR,2018-07,REHABILITASI MEDIK,PEREMPUAN,1016,PASIEN,2018
145,433145,35,JAWA TIMUR,2018-07,REHABILITASI MEDIK,LAKI LAKI,580,PASIEN,2018
144,432144,35,JAWA TIMUR,2018-07,PTRM,TOTAL,62,PASIEN,2018
144,430144,35,JAWA TIMUR,2018-07,PTRM,LAKI LAKI,62,PASIEN,2018
143,429143,35,JAWA TIMUR,2018-07,PSIKIATRI,TOTAL,605,PASIEN,2018
143,428143,35,JAWA TIMUR,2018-07,PSIKIATRI,PEREMPUAN,277,PASIEN,2018
159,475159,35,JAWA TIMUR,2018-08,IKA,LAKI LAKI,972,PASIEN,2018
158,474158,35,JAWA TIMUR,2018-08,GIGI & MULUT,TOTAL,944,PASIEN,2018
158,473158,35,JAWA TIMUR,2018-08,GIGI & MULUT,PEREMPUAN,592,PASIEN,2018
158,472158,35,JAWA TIMUR,2018-08,GIGI & MULUT,LAKI LAKI,352,PASIEN,2018
156,468156,35,JAWA TIMUR,2018-08,OBG,TOTAL,2132,PASIEN,2018
156,467156,35,JAWA TIMUR,2018-08,OBG,PEREMPUAN,2124,PASIEN,2018
156,466156,35,JAWA TIMUR,2018-08,OBG,LAKI LAKI,8,PASIEN,2018
155,465155,35,JAWA TIMUR,2018-08,BEDAH,TOTAL,2747,PASIEN,2018
155,464155,35,JAWA TIMUR,2018-08,BEDAH,PEREMPUAN,1221,PASIEN,2018
155,463155,35,JAWA TIMUR,2018-08,BEDAH,LAKI LAKI,1526,PASIEN,2018
154,462154,35,JAWA TIMUR,2018-08,PARU,TOTAL,1057,PASIEN,2018
154,461154,35,JAWA TIMUR,2018-08,PARU,PEREMPUAN,493,PASIEN,2018
154,460154,35,JAWA TIMUR,2018-08,PARU,LAKI LAKI,564,PASIEN,2018
153,459153,35,JAWA TIMUR,2018-08,ONKOLOGI TERPADU,TOTAL,2303,PASIEN,2018
153,458153,35,JAWA TIMUR,2018-08,ONKOLOGI TERPADU,PEREMPUAN,2027,PASIEN,2018
153,457153,35,JAWA TIMUR,2018-08,ONKOLOGI TERPADU,LAKI LAKI,276,PASIEN,2018
164,491164,35,JAWA TIMUR,2018-08,PSIKIATRI,PEREMPUAN,263,PASIEN,2018
164,490164,35,JAWA TIMUR,2018-08,PSIKIATRI,LAKI LAKI,299,PASIEN,2018
163,489163,35,JAWA TIMUR,2018-08,NEUROLOGI,TOTAL,1336,PASIEN,2018
163,488163,35,JAWA TIMUR,2018-08,NEUROLOGI,PEREMPUAN,742,PASIEN,2018
163,487163,35,JAWA TIMUR,2018-08,NEUROLOGI,LAKI LAKI,594,PASIEN,2018
162,486162,35,JAWA TIMUR,2018-08,CARDIOLOGI,TOTAL,2201,PASIEN,2018
162,485162,35,JAWA TIMUR,2018-08,CARDIOLOGI,PEREMPUAN,1124,PASIEN,2018
162,484162,35,JAWA TIMUR,2018-08,CARDIOLOGI,LAKI LAKI,1077,PASIEN,2018
161,483161,35,JAWA TIMUR,2018-08,THT,TOTAL,1465,PASIEN,2018
161,482161,35,JAWA TIMUR,2018-08,THT,PEREMPUAN,673,PASIEN,2018
161,481161,35,JAWA TIMUR,2018-08,THT,LAKI LAKI,792,PASIEN,2018
160,480160,35,JAWA TIMUR,2018-08,MATA,TOTAL,1760,PASIEN,2018
160,479160,35,JAWA TIMUR,2018-08,MATA,PEREMPUAN,901,PASIEN,2018
160,478160,35,JAWA TIMUR,2018-08,MATA,LAKI LAKI,859,PASIEN,2018
159,477159,35,JAWA TIMUR,2018-08,IKA,TOTAL,1704,PASIEN,2018
159,476159,35,JAWA TIMUR,2018-08,IKA,PEREMPUAN,732,PASIEN,2018
172,516172,35,JAWA TIMUR,2018-09,GENERAL CHECK UP,TOTAL,649,PASIEN,2018
172,515172,35,JAWA TIMUR,2018-09,GENERAL CHECK UP,PEREMPUAN,332,PASIEN,2018
172,514172,35,JAWA TIMUR,2018-09,GENERAL CHECK UP,LAKI LAKI,317,PASIEN,2018
171,513171,35,JAWA TIMUR,2018-09,KOMPLEMENTER,TOTAL,22,PASIEN,2018
171,512171,35,JAWA TIMUR,2018-09,KOMPLEMENTER,PEREMPUAN,12,PASIEN,2018
171,511171,35,JAWA TIMUR,2018-09,KOMPLEMENTER,LAKI LAKI,10,PASIEN,2018
169,507169,35,JAWA TIMUR,2018-09,DALAM,TOTAL,2154,PASIEN,2018
169,506169,35,JAWA TIMUR,2018-09,DALAM,PEREMPUAN,1201,PASIEN,2018
169,505169,35,JAWA TIMUR,2018-09,DALAM,LAKI LAKI,953,PASIEN,2018
168,504168,35,JAWA TIMUR,2018-08,KONSULTASI GIZI,TOTAL,231,PASIEN,2018
168,503168,35,JAWA TIMUR,2018-08,KONSULTASI GIZI,PEREMPUAN,130,PASIEN,2018
168,502168,35,JAWA TIMUR,2018-08,KONSULTASI GIZI,LAKI LAKI,101,PASIEN,2018
166,498166,35,JAWA TIMUR,2018-08,REHABILITASI MEDIK,TOTAL,1489,PASIEN,2018
166,497166,35,JAWA TIMUR,2018-08,REHABILITASI MEDIK,PEREMPUAN,902,PASIEN,2018
166,496166,35,JAWA TIMUR,2018-08,REHABILITASI MEDIK,LAKI LAKI,587,PASIEN,2018
164,492164,35,JAWA TIMUR,2018-08,PSIKIATRI,TOTAL,562,PASIEN,2018
179,535179,35,JAWA TIMUR,2018-09,GIGI & MULUT,LAKI LAKI,212,PASIEN,2018
177,531177,35,JAWA TIMUR,2018-09,OBG,TOTAL,1841,PASIEN,2018
177,530177,35,JAWA TIMUR,2018-09,OBG,PEREMPUAN,1836,PASIEN,2018
177,529177,35,JAWA TIMUR,2018-09,OBG,LAKI LAKI,5,PASIEN,2018
176,528176,35,JAWA TIMUR,2018-09,BEDAH,TOTAL,2248,PASIEN,2018
176,527176,35,JAWA TIMUR,2018-09,BEDAH,PEREMPUAN,988,PASIEN,2018
176,526176,35,JAWA TIMUR,2018-09,BEDAH,LAKI LAKI,1260,PASIEN,2018
175,525175,35,JAWA TIMUR,2018-09,PARU,TOTAL,729,PASIEN,2018
175,524175,35,JAWA TIMUR,2018-09,PARU,PEREMPUAN,336,PASIEN,2018
175,523175,35,JAWA TIMUR,2018-09,PARU,LAKI LAKI,393,PASIEN,2018
